SOC Group,SOC Code,SOC Title,title_lower,SOC Definition,From Occupation Data,50 highest-paying jobs in America,Highest-paying jobs for high school graduates,Highest paying jobs in education,50 fastest-growing jobs for the future,Fastest-growing jobs that pay over $100K,Generated,Stacker Description
Detailed,19-4042,"Environmental Science and Protection Technicians, Including Health","environmental science and protection technicians, including health","Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing.","Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing.",,,,,,,"Environmental science and protection technicians serve as environmental watchdogs, conducting field and laboratory tests to monitor pollution and protect public health. They collect samples of air, soil, water, and other materials to identify contamination sources and assess environmental risks. Working under environmental scientists and engineers, these technicians provide crucial data that helps safeguard communities and ecosystems."
Detailed,19-4043,"Geological Technicians, Except Hydrologic Technicians","geological technicians, except hydrologic technicians","Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes.","Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes.",,,,,,,"Geological technicians assist scientists and engineers in locating valuable natural resources like oil, gas, minerals, and coal. Using sophisticated electronic and nuclear measuring instruments, they analyze geological samples, chart well characteristics, and examine drill cuttings to assess underground resources. Their technical expertise helps guide exploration decisions that fuel energy production and mineral extraction industries."
Detailed,19-4044,Hydrologic Technicians,hydrologic technicians,"Collect and organize data concerning the distribution and circulation of ground and surface water, and data on its physical, chemical, and biological properties. Measure and report on flow rates and ground water levels, maintain field equipment, collect water samples, install and collect sampling equipment, and process samples for shipment to testing laboratories. May collect data on behalf of hydrologists, engineers, developers, government agencies, or agriculture. Excludes “Hydrologists” (19-2043).","Collect and organize data concerning the distribution and circulation of ground and surface water, and data on its physical, chemical, and biological properties. Measure and report on flow rates and ground water levels, maintain field equipment, collect water samples, install and collect sampling equipment, and process samples for shipment to testing laboratories. May collect data on behalf of hydrologists, engineers, developers, government agencies, or agriculture.",,,,,,,"Hydrologic technicians serve as the data collectors behind water resource management, gathering crucial information about groundwater levels, flow rates, and water quality. They maintain monitoring equipment, collect samples for laboratory analysis, and measure how water moves through different environments. Their fieldwork supports hydrologists, engineers, and government agencies in making informed decisions about water conservation, flood control, and environmental protection efforts."
Detailed,19-4051,Nuclear Technicians,nuclear technicians,"Assist nuclear physicists, nuclear engineers, or other scientists in laboratory, power generation, or electricity production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation.","Assist nuclear physicists, nuclear engineers, or other scientists in laboratory, power generation, or electricity production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation.",,,,,,,"Nuclear technicians work alongside scientists and engineers in laboratories, power plants, and research facilities to support nuclear operations and research. They operate sophisticated testing equipment, monitor radiation levels, and ensure quality control protocols are followed. These technicians play a critical safety role in nuclear power generation and scientific research, requiring specialized training to handle radioactive materials and maintain precise operational standards."
Detailed,19-4061,Social Science Research Assistants,social science research assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management. Excludes “Teaching Assistants, Postsecondary” (25-9044).","Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",,,,,,,"Social science research assistants support academic and applied research projects by collecting data, managing databases, and helping analyze findings. They assist with surveys, laboratory experiments, and field studies across disciplines like psychology, sociology, and economics. These professionals help prepare research for publication and ensure data quality, serving as the backbone of social science research that informs policy decisions and academic understanding."
Detailed,19-4071,Forest and Conservation Technicians,forest and conservation technicians,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats. Excludes “Conservation Scientists” (19-1031) and “Foresters” (19-1032).","Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.",,,,,,,"Forest and conservation technicians protect and manage natural resources through hands-on fieldwork and data collection. They assist scientists in monitoring forest health, wildlife habitats, and rangeland conditions while also training crews in fire prevention and forest management techniques. These technicians compile essential data about forest characteristics and environmental conditions that guide conservation efforts and sustainable resource management practices."
Detailed,19-4092,Forensic Science Technicians,forensic science technicians,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.","Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.",,,,,,,"Forensic science technicians analyze physical evidence from crime scenes to help solve criminal cases. They examine everything from DNA samples and fingerprints to ballistics and handwriting, using scientific methods to determine evidence significance. These specialists often testify in court as expert witnesses, making their precise laboratory work and attention to detail crucial for the justice system's effectiveness."
Detailed,19-4099,"Life, Physical, and Social Science Technicians, All Other","life, physical, and social science technicians, all other","All life, physical, and social science technicians not listed separately.","All life, physical, and social science technicians not listed separately.",,,,,,,"Life, physical, and social science technicians work behind the scenes in laboratories and research facilities, supporting scientists and researchers across diverse fields. They conduct experiments, collect samples, operate specialized equipment, and analyze data. These technicians might assist with anything from environmental monitoring to archaeological digs to psychological studies, making their work essential to scientific discovery and advancement."
Detailed,19-5011,Occupational Health and Safety Specialists,occupational health and safety specialists,"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.","Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.",,,,,,,"Occupational health and safety specialists protect workers from workplace hazards by identifying potential risks and developing safety protocols. They inspect facilities, investigate accidents, and ensure companies comply with federal and state safety regulations. These professionals analyze everything from chemical exposure to ergonomic issues, creating comprehensive safety programs that prevent injuries and illnesses across industries."
Detailed,19-5012,Occupational Health and Safety Technicians,occupational health and safety technicians,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.","Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.",,"<p>Occupational health and safety technicians collect and analyze data on the way a workplace runs to determine whether or not it's a safe and productive place to work. Most work in local government, though management, technical, and scientific consulting firms had the second highest numbers of these technicians.</p>",,,,,"Occupational health and safety technicians serve as the data collectors for workplace safety initiatives, gathering crucial information about environmental hazards and worker exposure. They test air quality, measure noise levels, and monitor chemical concentrations while implementing safety programs designed by specialists. Their fieldwork provides the foundation for creating safer work environments across manufacturing, construction, and other high-risk industries."
Detailed,21-1011,Substance Abuse and Behavioral Disorder Counselors,substance abuse and behavioral disorder counselors,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs. Excludes “Psychologists” (19-3032 through 19-3039), “Mental Health Counselors” (21-1014), and “Social Workers” (21-1021 through 21-1029) providing these services.","Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs.",,,,,,,"Substance abuse and behavioral disorder counselors help individuals overcome addictions and destructive behaviors through therapy and support programs. They work with clients struggling with alcohol, drugs, gambling, eating disorders, and other compulsive behaviors. These counselors develop treatment plans, facilitate group sessions, and provide ongoing support to help clients achieve recovery and maintain healthy lifestyles."
Detailed,21-1012,"Educational, Guidance, and Career Counselors and Advisors","educational, guidance, and career counselors and advisors",Advise and assist students and provide educational and vocational guidance services.,Advise and assist students and provide educational and vocational guidance services.,,,,,,,"Educational, guidance, and career counselors help students navigate academic choices and career paths from elementary school through college. They assist with course selection, college applications, scholarship opportunities, and career exploration. These professionals also provide personal counseling for academic struggles and social issues, ensuring students have the support needed to achieve their educational and professional goals."
Detailed,21-1013,Marriage and Family Therapists,marriage and family therapists,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders. Excludes “Psychologists” (19-3032 through 19-3039) and “Social Workers” (21-1020).","Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders.",,,,,,,"Marriage and family therapists specialize in helping couples and families navigate relationship challenges and mental health issues within their family systems. They use specialized therapeutic techniques to address problems like communication breakdowns, marital conflicts, and behavioral disorders that affect family dynamics. These professionals typically hold master's degrees in marriage and family therapy and must complete supervised clinical experience before becoming licensed."
Detailed,21-1014,Mental Health Counselors,mental health counselors,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention. May help individuals deal with a broad range of mental health issues, such as those associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; or aging. Excludes “Psychologists” (19-3030), “Social Workers” (21-1020), and “Psychiatrists” (29-1223).","Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention. May help individuals deal with a broad range of mental health issues, such as those associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; or aging.",,,,,,,"Mental health counselors provide preventive care and treatment for individuals struggling with emotional and psychological challenges. They help clients manage issues ranging from addiction and substance abuse to stress, self-esteem problems, and life transitions. These counselors work in various settings including private practice, community health centers, and hospitals, using evidence-based therapeutic approaches to promote mental wellness."
Detailed,21-1015,Rehabilitation Counselors,rehabilitation counselors,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement. Excludes “Occupational Therapists” (29-1122).","Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.",,,,,,,"Rehabilitation counselors help people with disabilities, injuries, or chronic conditions achieve greater independence and employment opportunities. They assess clients' needs and develop comprehensive rehabilitation plans that may include vocational training, job placement assistance, and personal counseling. These professionals work closely with individuals recovering from accidents, managing chronic illnesses, or adapting to physical or mental disabilities to maximize their quality of life."
Detailed,21-1019,"Counselors, All Other","counselors, all other",All counselors not listed separately.,All counselors not listed separately.,,,,,,,"This category encompasses specialized counselors who provide targeted support in areas not covered by other counseling professions. These professionals might focus on specific populations, therapeutic approaches, or unique counseling needs within communities. They apply counseling principles and techniques to help individuals overcome challenges and improve their overall well-being in their particular area of expertise."
Detailed,21-1021,"Child, Family, and School Social Workers","child, family, and school social workers","Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.","Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.",,,,,,,"Child, family, and school social workers protect vulnerable children and strengthen family units while supporting students' academic success. They investigate abuse cases, arrange adoptions and foster care placements, and work within schools to address issues like truancy and behavioral problems. These social workers serve as advocates and resources, connecting families with community services and helping create safer, more stable environments for children."
Detailed,21-1022,Healthcare Social Workers,healthcare social workers,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.","Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.",,,,,,,"Healthcare social workers bridge the gap between medical treatment and emotional support, helping patients and families navigate serious illnesses. They provide counseling, connect families with resources, and coordinate care plans that address both physical and psychological needs. These professionals work in hospitals, clinics, and community health centers, ensuring patients receive comprehensive support throughout their healthcare journey."
Detailed,21-1023,Mental Health and Substance Abuse Social Workers,mental health and substance abuse social workers,"Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education.","Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education.",,,,,,,"Mental health and substance abuse social workers provide critical intervention and therapy for individuals struggling with addiction, depression, anxiety, and other behavioral health challenges. They conduct assessments, lead group therapy sessions, manage crisis situations, and advocate for clients' needs. These specialists work in treatment centers, hospitals, and community organizations to help people achieve recovery and maintain mental wellness."
Detailed,21-1029,"Social Workers, All Other","social workers, all other",All social workers not listed separately.,All social workers not listed separately.,,,,,,,"Social workers in specialized fields address diverse community needs beyond traditional healthcare and mental health settings. They may focus on areas like gerontology, military families, disaster relief, or policy development. These professionals apply social work principles to unique populations and circumstances, often requiring additional training or certifications specific to their chosen specialty area."
Detailed,21-1091,Health Education Specialists,health education specialists,"Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs. Excludes “Community Health Workers” (21-1094).","Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs.",,,,,,,"Health education specialists design and implement programs that promote healthy behaviors and prevent disease in communities. They analyze health data to identify local needs, then create educational campaigns, workshops, and policies to address issues like nutrition, exercise, and disease prevention. These professionals work with schools, government agencies, and healthcare organizations to improve public health outcomes."
Detailed,21-1092,Probation Officers and Correctional Treatment Specialists,probation officers and correctional treatment specialists,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations.","Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations.",,,,,,,"Probation officers and correctional treatment specialists supervise offenders in the community and develop rehabilitation programs to reduce recidivism. They monitor compliance with court orders, provide counseling and support services, and connect individuals with job training and educational opportunities. These professionals play a crucial role in helping former inmates successfully reintegrate into society."
Detailed,21-1093,Social and Human Service Assistants,social and human service assistants,"Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care. Excludes “Rehabilitation Counselors” (21-1015), “Psychiatric Technicians” (29-2053), “Personal Care Aides” (31-1122), and “Eligibility Interviewers, Government Programs” (43-4061).","Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.",,,,,,,"Social and human service assistants work alongside social workers, psychologists, and rehabilitation specialists to connect clients with essential services and support. They help individuals navigate benefit programs, access community resources, and participate in substance abuse or family support programs. These assistants often serve as the first point of contact for people in crisis, providing crucial support while developing programs that address community-wide challenges."
Detailed,21-1094,Community Health Workers,community health workers,"Promote health within a community by assisting individuals to adopt healthy behaviors. Serve as an advocate for the health needs of individuals by assisting community residents in effectively communicating with healthcare providers or social service agencies. Act as liaison or advocate and implement programs that promote, maintain, and improve individual and overall community health. May deliver health-related preventive services such as blood pressure, glaucoma, and hearing screenings. May collect data to help identify community health needs. Excludes “Health Education Specialists” (21-1091).","Promote health within a community by assisting individuals to adopt healthy behaviors. Serve as an advocate for the health needs of individuals by assisting community residents in effectively communicating with healthcare providers or social service agencies. Act as liaison or advocate and implement programs that promote, maintain, and improve individual and overall community health. May deliver health-related preventive services such as blood pressure, glaucoma, and hearing screenings. May collect data to help identify community health needs.",,,,,,,"Community health workers bridge the gap between healthcare providers and the communities they serve, promoting wellness through education and advocacy. They conduct health screenings for conditions like high blood pressure and glaucoma, collect data to identify community health needs, and help residents communicate effectively with medical professionals. These workers often come from the communities they serve, bringing cultural understanding and trust to public health initiatives."
Detailed,21-1099,"Community and Social Service Specialists, All Other","community and social service specialists, all other",All community and social service specialists not listed separately.,All community and social service specialists not listed separately.,,,,,,,"Community and social service specialists encompass a diverse range of professionals who address specific community needs not covered by traditional social work roles. These specialists might focus on areas like victim advocacy, community organizing, grant writing, or specialized support services. They design and implement programs tailored to unique population needs, often working with nonprofits, government agencies, or faith-based organizations."
Detailed,21-2011,Clergy,clergy,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.,,,,,,,"Clergy provide spiritual leadership and guidance to religious communities, conducting worship services and performing sacred rituals according to their faith traditions. Beyond Sunday services, they offer counseling during personal crises, officiate weddings and funerals, and provide moral guidance to congregation members. Most clergy complete theological education and may pursue additional training in counseling, community outreach, or specialized ministry areas."
Detailed,21-2021,"Directors, Religious Activities and Education","directors, religious activities and education","Coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group. May provide counseling, guidance, and leadership relative to marital, health, financial, and religious problems.","Coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group. May provide counseling, guidance, and leadership relative to marital, health, financial, and religious problems.",,,,,,,"Directors of religious activities and education oversee the educational and outreach programs within religious organizations, developing curricula and coordinating community engagement initiatives. They design programs for different age groups, from children's Sunday school to adult education classes, and often provide counseling on personal, financial, and spiritual matters. These directors typically hold degrees in theology, education, or related fields."
Detailed,21-2099,"Religious Workers, All Other","religious workers, all other",All religious workers not listed separately.,All religious workers not listed separately.,,,,,,,"Religious workers encompass a diverse range of spiritual professionals beyond traditional clergy, including chaplains, religious educators, youth ministers, and pastoral counselors. These dedicated individuals serve congregations and communities by providing spiritual guidance, conducting religious ceremonies, and offering support during life's most challenging moments. Many pursue specialized theological education and certification through their respective faith traditions."
Detailed,23-1011,Lawyers,lawyers,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.","Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.","<p>The role of a lawyer is to provide legal counsel and representation to individuals, companies, or government agencies during legal disputes or events concerning the law. While lawyers are often associated with their work in courtrooms, they also file wills, contracts, and deeds. All lawyers in the United States earn a law degree—usually from an American Bar Association-accredited school—and pass a state's bar exam to practice.</p>",,,,,,"Lawyers represent clients in legal matters ranging from criminal defense to corporate transactions. They draft contracts, argue cases in court, negotiate settlements, and provide legal counsel on complex issues. While some attorneys work as generalists, many specialize in specific areas like family law, intellectual property, or environmental regulation. Most states require passing the bar exam and maintaining continuing education credits."
Detailed,23-1012,Judicial Law Clerks,judicial law clerks,Assist judges in court or by conducting research or preparing legal documents. Excludes “Lawyers” (23-1011) and “Paralegals and Legal Assistants” (23-2011).,Assist judges in court or by conducting research or preparing legal documents.,,,,,,,"Judicial law clerks work directly with judges to research legal precedents, draft opinions, and analyze case materials. These positions often serve as stepping stones for recent law school graduates seeking courtroom experience. Clerks review briefs, fact-check legal arguments, and help judges prepare for hearings. The role provides invaluable insight into judicial decision-making and legal reasoning at the highest levels."
Detailed,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers","administrative law judges, adjudicators, and hearing officers","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements. Excludes “Arbitrators, Mediators, and Conciliators” (23-1022).","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.",,,,,,,"Administrative law judges preside over hearings involving government agencies and programs, making decisions on disputes related to benefits, regulations, and compliance issues. Unlike traditional judges, they typically handle cases outside standard courtrooms, focusing on specialized areas like immigration, social security, or environmental law. These positions require extensive legal knowledge and the ability to interpret complex federal and state regulations."
Detailed,23-1022,"Arbitrators, Mediators, and Conciliators","arbitrators, mediators, and conciliators",Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.,Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.,,,,,,,"Arbitrators, mediators, and conciliators help resolve disputes without costly court proceedings. They facilitate discussions between conflicting parties, working to find mutually acceptable solutions in areas like labor relations, business contracts, and family matters. These professionals must remain neutral while guiding negotiations and may issue binding decisions in arbitration cases. Many have backgrounds in law, business, or specialized industry knowledge."
Detailed,23-1023,"Judges, Magistrate Judges, and Magistrates","judges, magistrate judges, and magistrates","Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.","Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.","<p>These law enforcers arbitrate, advise, adjudicate, and administer justice in courts of law. In criminal cases, judges, magistrate judges, and magistrates can issue sentences. Meanwhile, in civil cases, they determine liability. All three types of judges can also perform wedding ceremonies. Most judges are graduates of law school, and many hold doctorate degrees.</p>",,,,,,"Judges preside over court proceedings, ensuring fair application of the law while making critical decisions that affect people's lives. They sentence defendants in criminal cases, determine liability in civil disputes, and oversee legal proceedings from traffic violations to major felonies. Most judges require a law degree and extensive legal experience before appointment or election to the bench."
Detailed,23-2011,Paralegals and Legal Assistants,paralegals and legal assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action. Excludes “Legal Secretaries and Administrative Assistants” (43-6012).","Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",,,,,,,"Paralegals serve as essential support staff in law firms, conducting research, preparing legal documents, and investigating facts for cases. They help lawyers build stronger arguments by gathering evidence, interviewing witnesses, and organizing case files. While they cannot provide legal advice or represent clients, paralegals often specialize in areas like corporate law, criminal defense, or personal injury litigation."
Detailed,23-2093,"Title Examiners, Abstractors, and Searchers","title examiners, abstractors, and searchers","Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies. Excludes “Loan Officers” (13-2072).","Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies.",,"<p>Whether they work in real estate or insurance, title examiners, abstractors, and searchers consult records to examine titles or summarize legal documents for their employers. Typically, these employees compile lists of mortgages, contracts, and other related insurance documents.</p>",,,,,"Title examiners investigate property ownership histories to ensure clear legal transfer of real estate. They search through public records, examine deeds and mortgages, and identify any liens or legal issues that could complicate property sales. Their meticulous work protects buyers, lenders, and title insurance companies from costly legal disputes over property ownership rights."
Detailed,23-2099,"Legal Support Workers, All Other","legal support workers, all other",All legal support workers not listed separately.,All legal support workers not listed separately.,,,,,,,"Legal support workers encompass various specialized roles that keep law firms and legal departments functioning smoothly. From court reporters who transcribe proceedings to legal secretaries who manage case files, these professionals provide crucial administrative and technical support. Many develop expertise in specific legal software, court procedures, or areas of law to enhance their value to legal teams."
Detailed,25-1011,"Business Teachers, Postsecondary","business teachers, postsecondary","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,,,,,,"Business teachers at colleges and universities educate the next generation of entrepreneurs, managers, and corporate leaders. They teach courses spanning accounting, marketing, finance, and operations while often conducting research in their specialized fields. Many bring real-world business experience to the classroom, helping students understand practical applications of theoretical concepts through case studies and industry partnerships."
Detailed,25-1021,"Computer Science Teachers, Postsecondary","computer science teachers, postsecondary","Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,,,,,,"Computer science teachers at colleges and universities educate the next generation of programmers, software engineers, and tech innovators. They teach everything from basic programming languages to advanced topics like artificial intelligence and cybersecurity. Many professors balance classroom instruction with cutting-edge research, contributing to technological breakthroughs while mentoring students through complex coding projects and theoretical concepts."
Detailed,25-1022,"Mathematical Science Teachers, Postsecondary","mathematical science teachers, postsecondary","Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.","Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",,,,,,,"Mathematical science professors teach statistics, calculus, algebra, and actuarial science at the college level. They help students understand both pure mathematical theory and practical applications used in fields like finance, engineering, and data analysis. These educators often conduct original research in mathematical concepts while preparing students for careers in academia, industry, or government roles requiring advanced quantitative skills."
